City_ID,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
347,bere,9.32,16.16,74.19,90,67,3.4,TD,1597444972
348,banff,51.18,-115.57,64.99,44,90,21.0,CA,1597444973
349,ligayan,4.65,119.47,83.21,69,61,2.26,PH,1597444974
350,la rioja,42.25,-2.5,71.6,78,29,4.7,ES,1597444976
351,cidreira,-30.18,-50.21,60.55,96,81,13.94,BR,1597444626
352,rorvik,64.86,11.24,56.79,84,55,22.62,NO,1597444978
353,semey,50.41,80.23,57.04,77,63,3.67,KZ,1597444980
354,yeppoon,-23.13,150.73,64.4,93,75,3.36,AU,1597444981
355,boulder city,35.98,-114.83,109.99,9,1,9.4,US,1597444983
356,sola,-13.88,167.55,82.4,83,90,15.48,VU,1597444657
357,nizhniy odes,63.64,54.86,42.67,92,53,4.5,RU,1597444985
358,deputatskiy,69.3,139.9,33.13,93,100,9.4,RU,1597444986
359,sabzevar,36.21,57.68,78.39,26,0,6.93,IR,1597444988
360,cayenne,4.93,-52.33,84.2,70,1,8.05,GF,1597444601
361,imeni poliny osipenko,52.42,136.49,60.75,95,100,4.47,RU,1597444991
362,yamada,39.47,141.95,81.0,74,76,5.01,JP,1597444992
363,remedios,22.49,-79.55,87.8,70,75,14.99,CU,1597444993
364,klyuchi,52.27,79.17,54.12,87,7,3.8,RU,1597444995
365,soyo,-6.13,12.37,71.94,85,10,8.68,AO,1597444996
366,zitose,41.42,21.29,73.4,73,0,2.48,MK,1597444997
367,broken hill,-31.95,141.43,51.73,78,0,8.72,AU,1597444999
368,prince rupert,54.32,-130.32,60.8,93,90,5.82,CA,1597445000
369,astana,51.18,71.45,50.0,87,83,4.47,KZ,1597444708
370,xiaolan,22.67,113.23,81.0,91,0,4.56,CN,1597445003
371,fuerte olimpo,-21.04,-57.87,86.68,31,40,5.41,PY,1597445004
372,florenville,49.7,5.31,64.99,85,0,1.57,BE,1597445007
373,beloha,-25.17,45.05,57.7,85,0,5.82,MG,1597444651
374,sangueya,10.7,-14.37,74.59,94,54,2.01,GN,1597445009
375,shingu,33.73,135.98,86.76,64,0,2.37,JP,1597445011
376,svetlogorsk,52.63,29.73,51.13,86,81,1.74,BY,1597445012
377,togur,58.36,82.83,55.4,97,15,4.47,RU,1597444655
378,rafaela,-31.25,-61.49,64.0,36,0,7.16,AR,1597444751
379,yongan,39.7,113.69,64.42,72,100,5.59,CN,1597445016
380,oktyabrskoye,43.06,44.74,60.8,93,99,4.47,RU,1597445017
381,arman,59.7,150.17,57.16,82,100,2.55,RU,1597445019
