,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
388,manggar,20,ID,1584309970,77,-2.88,108.27,81.77,5.61
389,oxelosund,75,SE,1584309970,87,58.67,17.1,44.6,17.22
390,tual,100,ID,1584309703,77,-5.67,132.75,81.05,9.95
391,ust-uda,84,RU,1584309971,95,54.17,103.03,25.43,5.75
392,chapais,1,CA,1584309971,43,49.78,-74.85,10.4,5.82
393,atbasar,69,KZ,1584309971,91,51.8,68.33,27.05,7.4
394,kirkland lake,1,CA,1584309971,26,48.14,-80.04,21.2,5.82
395,saint-marc-des-carrieres,1,CA,1584309971,41,46.68,-72.05,28.4,12.75
396,lata,40,PT,1584309972,62,40.16,-8.33,52.0,12.75
397,assiniboia,100,CA,1584309972,68,49.63,-105.98,25.97,8.81
398,isilkul,100,RU,1584309972,79,54.91,71.27,33.17,24.65
399,salym,100,RU,1584309972,95,60.06,71.48,31.19,15.86
400,sinnamary,1,GF,1584309972,75,5.38,-52.95,80.15,13.11
401,mehamn,40,NO,1584309972,57,71.04,27.85,26.6,10.29
402,rio grande,90,BR,1584309908,78,-32.03,-52.1,73.4,10.29
403,itau de minas,61,BR,1584309973,83,-20.74,-46.75,72.59,3.47
404,leningradskiy,51,RU,1584309716,73,69.38,178.42,11.57,2.62
405,jiuquan,100,CN,1584309973,36,39.74,98.52,31.91,1.54
406,yar-sale,17,RU,1584309973,92,66.83,70.83,-8.59,6.78
407,chissamba,100,AO,1584309973,96,-12.17,17.33,64.67,2.53
408,iguape,0,BR,1584309974,77,-24.71,-47.56,79.79,4.85
409,synevyr,0,UA,1584309974,53,48.49,23.63,34.0,2.62
410,svetlyy,100,RU,1584309974,41,54.67,20.13,39.2,11.18
411,wamba,34,NG,1584309974,15,8.93,8.6,77.45,4.29
412,novobirilyussy,100,RU,1584309974,97,56.95,90.67,32.99,7.58
413,port lincoln,73,AU,1584309974,71,-34.73,135.87,63.23,9.82
414,cairns,32,AU,1584309750,83,-16.92,145.77,73.4,2.24
415,canon city,75,US,1584309975,86,38.44,-105.24,48.99,9.17
416,krasnoturansk,100,RU,1584309975,97,54.32,91.56,41.0,4.47
417,margate,75,GB,1584309975,100,51.38,1.39,48.2,2.24
418,biak,7,ID,1584309975,76,-0.91,122.88,80.87,5.97
419,harper,100,LR,1584309975,93,4.38,-7.72,76.73,2.39
420,batagay-alyta,97,RU,1584309975,92,67.8,130.41,-13.63,6.93
421,bahar,15,IR,1584309976,73,34.91,48.44,46.67,7.16
422,khartoum,81,SD,1584309976,13,15.55,32.53,75.2,5.82
423,grindavik,90,IS,1584309976,80,63.84,-22.43,37.4,33.33
424,maningrida,0,AU,1584309976,73,-12.07,134.27,79.97,5.03
425,great yarmouth,98,GB,1584309976,87,52.61,1.73,45.0,8.05
426,toowoomba,0,AU,1584309977,87,-27.55,151.97,62.01,5.82
427,indiaroba,90,BR,1584309977,78,-11.52,-37.51,78.53,5.1
428,selu,0,IN,1584309977,23,19.47,76.47,75.83,6.87
429,kalmunai,59,LK,1584309977,78,7.42,81.82,82.85,13.38
430,bayir,40,TR,1584309977,93,37.27,28.22,51.8,4.7
431,port hedland,0,AU,1584309977,83,-20.32,118.57,78.8,4.7
432,gairo,20,IT,1584309978,82,39.85,9.5,55.4,16.11
433,verkhnevilyuysk,100,RU,1584309978,96,63.45,120.32,28.67,4.76
434,montepuez,83,MZ,1584309978,98,-13.13,39.0,70.97,3.4
435,marawi,15,PH,1584309978,81,8.0,124.29,70.0,8.99
436,honningsvag,74,NO,1584309978,58,70.98,25.97,26.6,10.29
437,kulhudhuffushi,3,MV,1584309978,73,6.62,73.07,83.21,4.74
438,deputatskiy,0,RU,1584309685,77,69.3,139.9,-28.75,2.35
439,huarmey,80,PE,1584309979,52,-10.07,-78.15,81.23,9.93
440,wanaka,33,NZ,1584309979,79,-44.7,169.15,45.77,2.24
441,vardo,82,NO,1584309738,67,70.37,31.11,19.4,17.22
442,itarema,100,BR,1584309979,92,-2.92,-39.92,77.81,4.74
443,talnakh,40,RU,1584309979,75,69.49,88.4,-16.6,6.71
444,hranice,94,CZ,1584309979,56,49.55,17.73,36.0,10.29
445,groningen,96,NL,1584309715,76,53.25,6.75,51.01,9.17
446,ternate,99,ID,1584309980,80,0.8,127.4,72.41,2.77
447,puerto escondido,5,MX,1584309980,79,15.85,-97.07,86.0,9.17
448,kyren,49,RU,1584309980,73,51.68,102.14,15.89,5.73
449,ladario,40,BR,1584309704,58,-19.0,-57.6,87.8,6.93
450,atasu,100,KZ,1584309980,76,48.68,71.64,37.49,7.52
451,karaidel,100,RU,1584309980,96,55.83,56.91,27.59,3.62
452,pasighat,100,IN,1584309981,81,28.07,95.33,66.83,4.65
453,agadez,30,NE,1584309981,12,19.75,10.25,66.29,1.3
454,tubuala,40,PA,1584309981,52,9.52,-79.03,90.0,18.34
455,mahibadhoo,0,MV,1584309981,68,3.78,72.97,83.39,6.22
456,yeppoon,5,AU,1584309981,60,-23.13,150.73,73.4,8.05
457,karacabey,75,TR,1584309981,81,40.22,28.4,44.6,33.33
458,riyadh,0,SA,1584309981,37,24.69,46.72,68.0,9.17
459,abonnema,20,NG,1584309982,79,4.71,6.79,86.0,4.7
460,anadyr,75,RU,1584309724,92,64.75,177.48,21.2,2.24
461,safaga,0,EG,1584309982,68,26.73,33.94,68.0,5.82
462,basco,77,PH,1584309982,71,20.45,121.97,70.07,21.97
463,amga,93,RU,1584309982,98,60.9,131.96,-5.35,3.02
464,januaria,100,BR,1584309982,87,-15.48,-44.37,73.49,3.38
465,hirara,20,JP,1584309982,67,24.8,125.28,57.2,8.05
466,jacareacanga,88,BR,1584309983,77,-6.22,-57.75,79.07,5.68
467,kimbe,100,PG,1584309983,92,-5.55,150.14,76.37,3.65
468,banda aceh,72,ID,1584309983,88,5.56,95.32,75.47,5.48
469,dondo,17,MZ,1584309983,78,-19.61,34.74,80.6,9.17
470,askarovo,75,RU,1584309983,92,53.34,58.51,26.6,4.47
471,camacha,40,PT,1584309983,72,33.08,-16.33,62.6,16.11
472,simao,100,CN,1584309712,46,22.79,100.97,62.51,3.8
473,walvis bay,6,NA,1584309984,88,-22.96,14.51,62.6,6.93
474,orchard homes,1,US,1584309984,42,46.86,-114.05,32.0,10.29
475,uaua,99,BR,1584309984,56,-9.84,-39.48,80.33,10.94
476,andenes,89,NO,1584309984,86,69.31,16.12,28.4,27.51
477,beauvais,100,FR,1584309984,87,49.42,2.0,52.0,4.7
478,cedar city,1,US,1584309984,37,37.68,-113.06,55.4,23.04
479,omboue,100,GA,1584309985,93,-1.57,9.26,76.55,1.66
480,snasa,75,NO,1584309985,59,64.25,12.38,35.6,10.29
481,ekhabi,56,RU,1584309985,99,53.51,142.97,-5.89,11.3
482,jalu,0,LY,1584309985,20,29.03,21.55,69.53,6.62
483,shaunavon,100,CA,1584309985,93,49.65,-108.42,10.49,13.09
484,paragominas,100,BR,1584309985,98,-2.97,-47.48,70.61,3.47
485,samarinda,60,ID,1584309986,96,-0.5,117.15,73.13,2.06
486,sambava,100,MG,1584309986,88,-14.27,50.17,73.67,3.29
487,mansoa,76,GW,1584309986,78,12.07,-15.32,78.8,3.36
488,arman,100,RU,1584309986,84,59.7,150.17,0.59,11.39
489,la peca,78,PE,1584309986,44,-5.61,-78.44,87.53,1.57
490,sabang,100,ID,1584309986,75,5.89,95.32,85.19,18.37
491,atar,0,MR,1584309702,15,20.52,-13.05,72.23,8.08
492,bayanday,100,RU,1584309987,91,53.07,105.51,23.63,7.43
493,piacabucu,100,BR,1584309987,79,-10.41,-36.43,81.05,10.2
494,karratha,0,AU,1584309987,79,-20.74,116.85,83.39,17.67
495,chortomlyk,0,UA,1584309987,58,47.62,34.14,32.45,9.71
496,lewisville,90,US,1584309858,82,33.05,-96.99,57.99,10.29
497,upata,35,VE,1584309987,40,8.01,-62.4,89.69,8.41
498,aleppo,100,SY,1584309988,79,36.25,37.5,56.75,9.69
499,seabra,100,BR,1584309917,86,-12.42,-41.77,67.91,7.58
500,san francisco del rincon,75,MX,1584309988,24,21.02,-101.85,82.4,3.36
501,aviles,75,ES,1584309988,93,43.55,-5.92,43.0,10.29
502,half moon bay,75,US,1584309988,62,37.46,-122.43,55.4,11.41
503,gubkinskiy,100,RU,1584309988,86,64.43,76.5,-4.63,13.53
504,concarneau,100,FR,1584309989,87,47.88,-3.92,48.0,5.82
505,lingao,100,CN,1584309989,88,19.91,109.69,72.05,16.02
506,shaoyang,100,CN,1584309989,67,27.23,111.45,57.11,3.42
507,madang,100,PG,1584309989,88,-5.22,145.8,77.63,10.04
508,sao miguel do araguaia,57,BR,1584309989,89,-13.28,-50.16,78.89,3.58
509,beaverlodge,75,CA,1584309989,60,55.22,-119.44,6.8,3.36
510,petrozavodsk,77,RU,1584309990,70,61.78,34.35,32.0,20.13
511,port keats,29,AU,1584309990,64,-14.25,129.55,79.61,5.55
512,nenjiang,0,CN,1584309990,75,49.18,125.22,3.65,7.02
513,chaman,83,PK,1584309990,34,30.92,66.45,57.11,3.76
514,verkhnetulomskiy,100,RU,1584309990,73,68.61,31.8,19.4,2.24
515,dolores,0,AR,1584309990,43,-36.31,-57.68,72.77,10.83
516,palana,100,RU,1584309990,85,59.12,159.97,13.91,8.43
517,sabha,0,LY,1584309991,14,27.04,14.43,68.81,6.64
518,nome,90,US,1584309991,92,64.5,-165.41,28.4,10.29
519,morondava,60,MG,1584309991,85,-20.28,44.28,76.55,1.97
520,fairview,1,US,1584309991,23,40.81,-74.0,55.4,12.75
521,altamira,100,BR,1584309992,98,-3.2,-52.21,71.33,1.14
522,upington,0,ZA,1584309992,29,-28.45,21.26,75.2,2.24
523,nyagan,100,RU,1584309992,93,62.14,65.39,5.63,9.86
524,burtunay,99,RU,1584309992,81,42.99,46.63,33.71,2.73
525,lorengau,100,PG,1584309992,71,-2.02,147.27,84.11,5.37
526,tautira,20,PF,1584309992,62,-17.73,-149.15,87.8,3.36
527,kargopol,8,RU,1584309993,82,61.51,38.95,20.57,9.17
528,aksaray,75,TR,1584309993,81,38.37,34.03,50.0,1.12
529,olafsvik,100,IS,1584309749,67,64.89,-23.71,35.51,34.49
530,eyl,58,SO,1584309993,79,7.98,49.82,79.43,12.28
531,aksay,5,RU,1584309993,62,47.26,39.87,23.0,6.71
532,pine bluff,90,US,1584309993,76,34.23,-92.0,50.0,11.41
533,jumla,0,NP,1584309993,57,29.27,82.18,25.25,5.88
534,misratah,0,LY,1584309994,87,32.38,15.09,61.07,12.35
535,guhagar,0,IN,1584309994,57,17.48,73.19,81.23,7.34
536,sao joao da barra,0,BR,1584309994,74,-21.64,-41.05,82.4,16.11
537,mareeba,34,AU,1584309994,83,-17.0,145.43,73.4,2.24
538,karangampel,100,ID,1584309994,81,-6.46,108.45,80.15,4.72
539,thinadhoo,0,MV,1584309995,58,0.53,72.93,83.57,3.13
540,lastoursville,34,GA,1584309995,95,-0.81,12.73,73.49,3.49
541,kahului,40,US,1584309995,69,20.89,-156.47,80.6,5.82
542,santa cruz del sur,0,CU,1584309995,66,20.71,-78.0,82.13,7.76
543,puerto maldonado,20,PE,1584309995,100,-12.6,-69.18,33.8,3.36
544,valparaiso,0,CL,1584309871,52,-33.04,-71.63,69.8,8.05
545,tulum,40,MX,1584309995,69,20.22,-87.47,84.0,13.87
546,boueni,100,YT,1584309996,83,-12.9,45.08,82.4,6.93
547,lapa,40,BR,1584309996,54,-25.77,-49.72,82.4,5.82
548,ugoofaaru,0,MV,1584309996,75,5.67,73.0,83.39,8.32
549,preobrazheniye,0,RU,1584309710,69,42.9,133.91,19.13,4.59
550,necochea,0,AR,1584309997,76,-38.55,-58.74,61.0,3.0
551,le port,100,RE,1584309997,65,-20.94,55.29,77.0,3.36
552,cheboksary,40,RU,1584309712,80,56.13,47.25,30.2,15.66
553,bafoulabe,41,ML,1584309997,12,13.81,-10.83,85.91,5.68
554,calbuco,0,CL,1584309950,59,-41.77,-73.13,64.4,13.87
555,quatre cocos,40,MU,1584309997,94,-20.21,57.76,75.0,3.36
556,iskilip,99,TR,1584309997,88,40.74,34.47,40.01,14.41
557,nanzhang,93,CN,1584309998,48,31.78,111.84,56.75,3.22
558,luwuk,7,ID,1584309998,76,-0.95,122.79,80.87,5.97
559,paraiso,20,CR,1584309998,50,9.84,-83.87,86.0,19.46
560,general roca,0,AR,1584309998,17,-39.03,-67.58,82.4,8.05
561,tobermory,0,CA,1584309998,39,45.25,-81.67,28.99,1.01
562,sabla,100,NG,1584309998,9,12.75,4.71,82.85,9.84
